min_breathing_shallow,max_breathing_shallow,identifier
-5550,5572,vK2bLRNzllXNeyOMudnNSL5cfpG2
-1690,1740,bjA2KpSxneNskrLBeqi4bqoTDQl2
-9602,9668,FSzobvJqOXf0rI6X05cHqOiU9Mu2
-890,817,EqDWckxbsETyHUeBLQ8jLtxlhir2
-28497,28596,FGRDO4IBbAejR0WHD5YbkXTCasg2
-25734,26027,htQzROl26OWQpIYFDzv11F79PLR2
-7187,6895,pW9mCAeWYiMoM7wW7riLvNRbYDO2
-263,237,Eu11s84cuBTiPXTAtVf9mj3GkqA2
-1491,1441,L7S8iIPKgiO6QWLC3mGkROCMa0s1
-8048,7798,eP8gEM0KcBU6S5JpMdycX74KP3p2
0,0,UiUUhL0PMjWVA6W2dKte1DCE6wG2
-125,141,2TkAK2YVkYS7Ux3hAPBUgYgg9DI3
-16054,13772,QQbzKidDxHQ0eZFEL4uG68s1lc02
-18929,19287,9ypQNsTsSQYlx72wxTLrHzzNoAJ2
-2120,2144,cfZUmZvsecYVKw5eSi4qIhfJVpI3
-27579,28782,5ZDF98UQUxcVuS9VhaWxKlVnXvs1
0,0,tiKv850hJFTmpCAvfJOmOOqkeUs1
-22914,15612,LqGeCxef4fN4IPanKEbWkO1fAwJ3
-27941,22082,XUsJp0qysAPtu3vBI0UCiHRJhZ22
-32679,32684,eZ9KEu3fmEgvxINqgcbkBXoEsv53
,,TRK6gUseEUS7dbF0soG80W1uLm53
-25792,26122,iq8oYXczSjPuJoVS7DBpkGNMC2p1
-6213,6591,O4BFgxvAgwbwRGZMkMBJRFnGBbd2
-19746,16216,nMIOAh7qRFf3pqbchclOLKbPDOm1
-10524,7502,Pr79fov0a5TW5KPo0XACvIqMtO72
-26683,25909,60Ig4PmU9NMqKGDMR8Um0Tc2KXB3
-129,126,CrlV0ddIqdbtxNnkIhtPS5dvoX42
-1573,1789,KL32QXSSnLZlRRT2B6rQQQKgpx12
-239,303,tOlOwYDEHCRx1QegeMOPaydVcgv1
-3463,3345,zvXkuEaPb0OEgG4EHx59NqdmamR2
,,9XKj7fAmvwPUas9GFPZuTpev7T03
-2279,2438,0Rlzhiz6bybk77wdLjxwy7yLDhg1
-15023,14043,l3umDXECeOUTZH8pFN19c2WM4m43
-11732,12179,XVjp63ocWZRqJRdxCtklUfmdklm2
-19629,17417,JmN2KXZoEThB2e8KFMbM7L4fOwy1
-3432,3889,SY4Ekt5W4VZdeIm5r3iLmjxz9pA2
-8050,8283,1ctsxp37dWNbCbizTioZzpAWqJx2
0,0,2XgDqzQkqLX9SbmSHfbqdRxSmRD2
-32767,29782,kIHldMnyvmXvpLq0LjWr7ecclSj2
-24074,24111,AI4aa1tjlXQw4iOH4RuTvgMtK3G3
-5164,3994,U98J2q0NnycYzzUS2BYZpUa55X83
-6419,6476,NWqfdBx5mrglkG4TJ5Gt9mVnYOo2
-330,350,KGWBaTNrJmUgzGZw5Xh2ICSHVu92
-3245,3485,mFQ65xqfxpXiS6vwK1HKwq7j8o62
-25792,22026,9XJ2QSvS9CaIo5hSyRZcdst0K8P2
-13083,6821,n7ewrIqB7wUuK1FZGGjef18jtb52
-2894,3041,5le68NJRZWV6TrMTYn3j7gSlqTi2
-32303,29295,qHN6U03r3TRKVZ83fmWDDQvtDuz1
-6533,7234,1AuoEhB8vAfCtxTFFV0W916yBqA3
-23989,23300,w1TDsR75t5PsGyAksqF3kMQ6DXT2
-7168,5555,VcmjCfW6ddgE9lFhDXTO6hDlb452
-3410,3349,maTMkkXbqOhLPOYLpGyMPPigDFt1
-1801,1878,UV965HIG9saPO9HjKNFSm2aFeBt2
-1840,1683,LwfZvk9xa6bAJbz4wQGEcyoDOmL2
-23143,23549,V247RjX91RY4fxtgfeWjvBhg89s2
-3701,3731,g6L8s5Dtq8eIYUTeRWHq0Q7w5L32
-13285,11009,Eoyf44CUffgVCPPjJJkopEyAO7k2
-24967,24194,VrBIdIVnQkPbR9D2Gi7WCb17ST62
-2016,1990,aGEXEhp3mbUandZBtCuEooDQrK53
-28297,27543,tFFUbYL9nSNEyaBK3w9UAtATcgO2
-2177,2096,hRB1GYdlKAgCnwg4xFzAUE3SiUG2
-669,507,6MmSmB1lmmOiyKNNA0p7IuVe3CA3
-22504,18712,9D1go0wkvuPkFebFk4uQQpcBuZw1
-24141,23335,O2axQgHDogQ1mORlKYAGiPTiHvB3
-29220,24567,wawUd75qJgXdQz6qxRATEzuKvMn1
-4664,5033,n4t5cgNQKXO3F8KP55vWOgYWcXC3
-8312,10909,CAf8ILsDpQMeTPPLwi7nFlgRT2t1
-1014,909,l8qDG3sN6tczDZGHbgPje0suopx1
-25440,24368,U7UmNZmqS6OWTiDkM7IfqkDRrae2
-3560,3686,G3iIP9QRHPTItOsK6lpEMd6IQKw1
-26337,24158,jRjAYMmAQee5uVm5fU8yVnpuvs33
-28111,30337,0zexHIcM7tQDdnFiEj2Eb0v3g212
-3702,3738,uMry1yqi5sNoykw7ySJdITMv2yT2
-4722,4588,3VWhvtBFHKMgEKxlXzMYeg5NeBN2
-49,44,xyDgyXrDoyXu5CFqcNe20LRjYqg1
-6516,6708,FLhjsgqrgQMKwNt5iEryxG5sDlW2
