min_cough_heavy,max_cough_heavy,identifier
-29243,31055,vK2bLRNzllXNeyOMudnNSL5cfpG2
-24086,26307,bjA2KpSxneNskrLBeqi4bqoTDQl2
-25639,25035,FSzobvJqOXf0rI6X05cHqOiU9Mu2
-30519,28090,EqDWckxbsETyHUeBLQ8jLtxlhir2
-32763,32014,FGRDO4IBbAejR0WHD5YbkXTCasg2
0,0,htQzROl26OWQpIYFDzv11F79PLR2
-28357,30071,pW9mCAeWYiMoM7wW7riLvNRbYDO2
-32400,32138,Eu11s84cuBTiPXTAtVf9mj3GkqA2
-25605,28296,L7S8iIPKgiO6QWLC3mGkROCMa0s1
-27580,30044,eP8gEM0KcBU6S5JpMdycX74KP3p2
0,0,UiUUhL0PMjWVA6W2dKte1DCE6wG2
-25755,23759,2TkAK2YVkYS7Ux3hAPBUgYgg9DI3
-27830,23526,QQbzKidDxHQ0eZFEL4uG68s1lc02
-19957,19574,9ypQNsTsSQYlx72wxTLrHzzNoAJ2
-25557,26166,cfZUmZvsecYVKw5eSi4qIhfJVpI3
-27437,26267,5ZDF98UQUxcVuS9VhaWxKlVnXvs1
0,0,tiKv850hJFTmpCAvfJOmOOqkeUs1
-26695,32079,LqGeCxef4fN4IPanKEbWkO1fAwJ3
-25769,27603,XUsJp0qysAPtu3vBI0UCiHRJhZ22
-24097,23938,eZ9KEu3fmEgvxINqgcbkBXoEsv53
,,TRK6gUseEUS7dbF0soG80W1uLm53
-25820,25547,iq8oYXczSjPuJoVS7DBpkGNMC2p1
-30461,32099,O4BFgxvAgwbwRGZMkMBJRFnGBbd2
-32204,32721,nMIOAh7qRFf3pqbchclOLKbPDOm1
-32767,32767,Pr79fov0a5TW5KPo0XACvIqMtO72
-28206,28423,60Ig4PmU9NMqKGDMR8Um0Tc2KXB3
-23019,27229,CrlV0ddIqdbtxNnkIhtPS5dvoX42
-7371,7154,KL32QXSSnLZlRRT2B6rQQQKgpx12
-32669,32422,tOlOwYDEHCRx1QegeMOPaydVcgv1
0,0,zvXkuEaPb0OEgG4EHx59NqdmamR2
,,9XKj7fAmvwPUas9GFPZuTpev7T03
-32767,29325,0Rlzhiz6bybk77wdLjxwy7yLDhg1
-32563,31754,l3umDXECeOUTZH8pFN19c2WM4m43
-30119,26614,XVjp63ocWZRqJRdxCtklUfmdklm2
-25908,30258,JmN2KXZoEThB2e8KFMbM7L4fOwy1
-24346,24139,SY4Ekt5W4VZdeIm5r3iLmjxz9pA2
-32758,32766,1ctsxp37dWNbCbizTioZzpAWqJx2
0,0,2XgDqzQkqLX9SbmSHfbqdRxSmRD2
-32767,32767,kIHldMnyvmXvpLq0LjWr7ecclSj2
-32601,32767,AI4aa1tjlXQw4iOH4RuTvgMtK3G3
0,0,U98J2q0NnycYzzUS2BYZpUa55X83
-24394,31934,NWqfdBx5mrglkG4TJ5Gt9mVnYOo2
-26599,29746,KGWBaTNrJmUgzGZw5Xh2ICSHVu92
-1305,1484,mFQ65xqfxpXiS6vwK1HKwq7j8o62
-27129,25466,9XJ2QSvS9CaIo5hSyRZcdst0K8P2
-32767,32767,n7ewrIqB7wUuK1FZGGjef18jtb52
-27765,26773,5le68NJRZWV6TrMTYn3j7gSlqTi2
-30270,30650,qHN6U03r3TRKVZ83fmWDDQvtDuz1
-23771,23399,1AuoEhB8vAfCtxTFFV0W916yBqA3
-26925,27141,w1TDsR75t5PsGyAksqF3kMQ6DXT2
-8466,10626,VcmjCfW6ddgE9lFhDXTO6hDlb452
-26739,27563,maTMkkXbqOhLPOYLpGyMPPigDFt1
-23692,24144,UV965HIG9saPO9HjKNFSm2aFeBt2
-32743,32764,LwfZvk9xa6bAJbz4wQGEcyoDOmL2
-23078,23652,V247RjX91RY4fxtgfeWjvBhg89s2
-9295,9553,g6L8s5Dtq8eIYUTeRWHq0Q7w5L32
-29072,30212,Eoyf44CUffgVCPPjJJkopEyAO7k2
-26774,28558,VrBIdIVnQkPbR9D2Gi7WCb17ST62
-30975,29014,aGEXEhp3mbUandZBtCuEooDQrK53
-30087,25751,tFFUbYL9nSNEyaBK3w9UAtATcgO2
-28791,29433,hRB1GYdlKAgCnwg4xFzAUE3SiUG2
-20139,21169,6MmSmB1lmmOiyKNNA0p7IuVe3CA3
-30832,31470,9D1go0wkvuPkFebFk4uQQpcBuZw1
-30798,27065,O2axQgHDogQ1mORlKYAGiPTiHvB3
-25785,25698,wawUd75qJgXdQz6qxRATEzuKvMn1
-29136,30443,n4t5cgNQKXO3F8KP55vWOgYWcXC3
-19667,19983,CAf8ILsDpQMeTPPLwi7nFlgRT2t1
-26635,27745,l8qDG3sN6tczDZGHbgPje0suopx1
-27691,31768,U7UmNZmqS6OWTiDkM7IfqkDRrae2
-28861,29219,G3iIP9QRHPTItOsK6lpEMd6IQKw1
-27112,27156,jRjAYMmAQee5uVm5fU8yVnpuvs33
-31560,32767,0zexHIcM7tQDdnFiEj2Eb0v3g212
-25590,29690,uMry1yqi5sNoykw7ySJdITMv2yT2
-32688,32504,3VWhvtBFHKMgEKxlXzMYeg5NeBN2
-30722,30054,xyDgyXrDoyXu5CFqcNe20LRjYqg1
-32727,32702,FLhjsgqrgQMKwNt5iEryxG5sDlW2
