min_counting_normal,max_counting_normal,identifier
-20803,27825,vK2bLRNzllXNeyOMudnNSL5cfpG2
-18586,19482,bjA2KpSxneNskrLBeqi4bqoTDQl2
-32302,29191,FSzobvJqOXf0rI6X05cHqOiU9Mu2
-28295,26375,EqDWckxbsETyHUeBLQ8jLtxlhir2
-18392,18585,FGRDO4IBbAejR0WHD5YbkXTCasg2
0,0,htQzROl26OWQpIYFDzv11F79PLR2
-29939,27265,pW9mCAeWYiMoM7wW7riLvNRbYDO2
-4747,8789,Eu11s84cuBTiPXTAtVf9mj3GkqA2
-29340,25294,L7S8iIPKgiO6QWLC3mGkROCMa0s1
-18897,17686,eP8gEM0KcBU6S5JpMdycX74KP3p2
-23357,30767,UiUUhL0PMjWVA6W2dKte1DCE6wG2
-6570,8582,2TkAK2YVkYS7Ux3hAPBUgYgg9DI3
-22275,22147,QQbzKidDxHQ0eZFEL4uG68s1lc02
-20700,22343,9ypQNsTsSQYlx72wxTLrHzzNoAJ2
-22697,23244,cfZUmZvsecYVKw5eSi4qIhfJVpI3
-17124,17963,5ZDF98UQUxcVuS9VhaWxKlVnXvs1
0,0,tiKv850hJFTmpCAvfJOmOOqkeUs1
-24637,25188,LqGeCxef4fN4IPanKEbWkO1fAwJ3
-12225,8315,XUsJp0qysAPtu3vBI0UCiHRJhZ22
-15774,23401,eZ9KEu3fmEgvxINqgcbkBXoEsv53
,,TRK6gUseEUS7dbF0soG80W1uLm53
-24525,31448,iq8oYXczSjPuJoVS7DBpkGNMC2p1
-32693,32679,O4BFgxvAgwbwRGZMkMBJRFnGBbd2
-17551,13634,nMIOAh7qRFf3pqbchclOLKbPDOm1
-15888,18093,Pr79fov0a5TW5KPo0XACvIqMtO72
-24297,24460,60Ig4PmU9NMqKGDMR8Um0Tc2KXB3
-1514,1774,CrlV0ddIqdbtxNnkIhtPS5dvoX42
-19093,17343,KL32QXSSnLZlRRT2B6rQQQKgpx12
-13640,11336,tOlOwYDEHCRx1QegeMOPaydVcgv1
0,0,zvXkuEaPb0OEgG4EHx59NqdmamR2
,,9XKj7fAmvwPUas9GFPZuTpev7T03
-21888,29182,0Rlzhiz6bybk77wdLjxwy7yLDhg1
-23718,24115,l3umDXECeOUTZH8pFN19c2WM4m43
-32657,32421,XVjp63ocWZRqJRdxCtklUfmdklm2
-25711,28207,JmN2KXZoEThB2e8KFMbM7L4fOwy1
0,0,SY4Ekt5W4VZdeIm5r3iLmjxz9pA2
-26553,27116,1ctsxp37dWNbCbizTioZzpAWqJx2
0,0,2XgDqzQkqLX9SbmSHfbqdRxSmRD2
-20041,26880,kIHldMnyvmXvpLq0LjWr7ecclSj2
-5510,4838,AI4aa1tjlXQw4iOH4RuTvgMtK3G3
0,0,U98J2q0NnycYzzUS2BYZpUa55X83
-11030,9463,NWqfdBx5mrglkG4TJ5Gt9mVnYOo2
-23631,23944,KGWBaTNrJmUgzGZw5Xh2ICSHVu92
-27,26,mFQ65xqfxpXiS6vwK1HKwq7j8o62
-16566,14174,9XJ2QSvS9CaIo5hSyRZcdst0K8P2
-31813,31798,n7ewrIqB7wUuK1FZGGjef18jtb52
-5097,9293,5le68NJRZWV6TrMTYn3j7gSlqTi2
-25738,25540,qHN6U03r3TRKVZ83fmWDDQvtDuz1
-16014,23450,1AuoEhB8vAfCtxTFFV0W916yBqA3
-8752,9053,w1TDsR75t5PsGyAksqF3kMQ6DXT2
-8084,9756,VcmjCfW6ddgE9lFhDXTO6hDlb452
-4507,5927,maTMkkXbqOhLPOYLpGyMPPigDFt1
-3271,3918,UV965HIG9saPO9HjKNFSm2aFeBt2
-32763,32750,LwfZvk9xa6bAJbz4wQGEcyoDOmL2
-21101,24191,V247RjX91RY4fxtgfeWjvBhg89s2
-23421,22647,g6L8s5Dtq8eIYUTeRWHq0Q7w5L32
-16467,23543,Eoyf44CUffgVCPPjJJkopEyAO7k2
-32681,32748,VrBIdIVnQkPbR9D2Gi7WCb17ST62
-17027,15664,aGEXEhp3mbUandZBtCuEooDQrK53
-22671,18367,tFFUbYL9nSNEyaBK3w9UAtATcgO2
-24540,21766,hRB1GYdlKAgCnwg4xFzAUE3SiUG2
-5864,5194,6MmSmB1lmmOiyKNNA0p7IuVe3CA3
-28787,30899,9D1go0wkvuPkFebFk4uQQpcBuZw1
-22974,25770,O2axQgHDogQ1mORlKYAGiPTiHvB3
-27803,24277,wawUd75qJgXdQz6qxRATEzuKvMn1
-17600,13111,n4t5cgNQKXO3F8KP55vWOgYWcXC3
-17803,18685,CAf8ILsDpQMeTPPLwi7nFlgRT2t1
-12006,11254,l8qDG3sN6tczDZGHbgPje0suopx1
-17166,25056,U7UmNZmqS6OWTiDkM7IfqkDRrae2
-27714,30709,G3iIP9QRHPTItOsK6lpEMd6IQKw1
-26586,25053,jRjAYMmAQee5uVm5fU8yVnpuvs33
-32767,29000,0zexHIcM7tQDdnFiEj2Eb0v3g212
-11522,12564,uMry1yqi5sNoykw7ySJdITMv2yT2
-29592,26829,3VWhvtBFHKMgEKxlXzMYeg5NeBN2
-26655,27570,xyDgyXrDoyXu5CFqcNe20LRjYqg1
-27025,29721,FLhjsgqrgQMKwNt5iEryxG5sDlW2
