min_vowel_a,max_vowel_a,identifier
-10998,14512,vK2bLRNzllXNeyOMudnNSL5cfpG2
-5753,5837,bjA2KpSxneNskrLBeqi4bqoTDQl2
-24511,23192,FSzobvJqOXf0rI6X05cHqOiU9Mu2
-28081,27261,EqDWckxbsETyHUeBLQ8jLtxlhir2
-9326,12512,FGRDO4IBbAejR0WHD5YbkXTCasg2
0,0,htQzROl26OWQpIYFDzv11F79PLR2
-28287,26402,pW9mCAeWYiMoM7wW7riLvNRbYDO2
-9896,10521,Eu11s84cuBTiPXTAtVf9mj3GkqA2
-26835,25844,L7S8iIPKgiO6QWLC3mGkROCMa0s1
-15192,15836,eP8gEM0KcBU6S5JpMdycX74KP3p2
0,0,UiUUhL0PMjWVA6W2dKte1DCE6wG2
-4829,5344,2TkAK2YVkYS7Ux3hAPBUgYgg9DI3
-17209,17195,QQbzKidDxHQ0eZFEL4uG68s1lc02
-14288,19473,9ypQNsTsSQYlx72wxTLrHzzNoAJ2
-20253,14678,cfZUmZvsecYVKw5eSi4qIhfJVpI3
-11856,9303,5ZDF98UQUxcVuS9VhaWxKlVnXvs1
0,0,tiKv850hJFTmpCAvfJOmOOqkeUs1
-26891,24514,LqGeCxef4fN4IPanKEbWkO1fAwJ3
-21919,21941,XUsJp0qysAPtu3vBI0UCiHRJhZ22
-11516,14958,eZ9KEu3fmEgvxINqgcbkBXoEsv53
,,TRK6gUseEUS7dbF0soG80W1uLm53
-23635,24500,iq8oYXczSjPuJoVS7DBpkGNMC2p1
-16518,10714,O4BFgxvAgwbwRGZMkMBJRFnGBbd2
-13720,11149,nMIOAh7qRFf3pqbchclOLKbPDOm1
-11874,11990,Pr79fov0a5TW5KPo0XACvIqMtO72
-23382,26040,60Ig4PmU9NMqKGDMR8Um0Tc2KXB3
-2553,2475,CrlV0ddIqdbtxNnkIhtPS5dvoX42
-12222,11501,KL32QXSSnLZlRRT2B6rQQQKgpx12
-6200,5805,tOlOwYDEHCRx1QegeMOPaydVcgv1
0,0,zvXkuEaPb0OEgG4EHx59NqdmamR2
,,9XKj7fAmvwPUas9GFPZuTpev7T03
-17818,23342,0Rlzhiz6bybk77wdLjxwy7yLDhg1
-27401,26245,l3umDXECeOUTZH8pFN19c2WM4m43
-25447,17544,XVjp63ocWZRqJRdxCtklUfmdklm2
-24387,25947,JmN2KXZoEThB2e8KFMbM7L4fOwy1
0,0,SY4Ekt5W4VZdeIm5r3iLmjxz9pA2
-16891,17771,1ctsxp37dWNbCbizTioZzpAWqJx2
0,0,2XgDqzQkqLX9SbmSHfbqdRxSmRD2
-19617,15852,kIHldMnyvmXvpLq0LjWr7ecclSj2
-10987,8764,AI4aa1tjlXQw4iOH4RuTvgMtK3G3
0,0,U98J2q0NnycYzzUS2BYZpUa55X83
-4427,5270,NWqfdBx5mrglkG4TJ5Gt9mVnYOo2
-11533,12145,KGWBaTNrJmUgzGZw5Xh2ICSHVu92
-13,13,mFQ65xqfxpXiS6vwK1HKwq7j8o62
-18643,19932,9XJ2QSvS9CaIo5hSyRZcdst0K8P2
-14961,13958,n7ewrIqB7wUuK1FZGGjef18jtb52
-22574,24160,5le68NJRZWV6TrMTYn3j7gSlqTi2
-25632,27095,qHN6U03r3TRKVZ83fmWDDQvtDuz1
-14759,24225,1AuoEhB8vAfCtxTFFV0W916yBqA3
-12174,10510,w1TDsR75t5PsGyAksqF3kMQ6DXT2
-8263,7223,VcmjCfW6ddgE9lFhDXTO6hDlb452
-4137,3542,maTMkkXbqOhLPOYLpGyMPPigDFt1
-3081,4208,UV965HIG9saPO9HjKNFSm2aFeBt2
-10748,14083,LwfZvk9xa6bAJbz4wQGEcyoDOmL2
-19648,22699,V247RjX91RY4fxtgfeWjvBhg89s2
-12670,11835,g6L8s5Dtq8eIYUTeRWHq0Q7w5L32
-25098,25191,Eoyf44CUffgVCPPjJJkopEyAO7k2
-8607,8874,VrBIdIVnQkPbR9D2Gi7WCb17ST62
-13824,10932,aGEXEhp3mbUandZBtCuEooDQrK53
-16115,16366,tFFUbYL9nSNEyaBK3w9UAtATcgO2
-24083,24836,hRB1GYdlKAgCnwg4xFzAUE3SiUG2
-8050,10004,6MmSmB1lmmOiyKNNA0p7IuVe3CA3
-26029,32638,9D1go0wkvuPkFebFk4uQQpcBuZw1
-21179,22278,O2axQgHDogQ1mORlKYAGiPTiHvB3
-25830,23991,wawUd75qJgXdQz6qxRATEzuKvMn1
-15905,13040,n4t5cgNQKXO3F8KP55vWOgYWcXC3
-13981,11881,CAf8ILsDpQMeTPPLwi7nFlgRT2t1
-7423,8095,l8qDG3sN6tczDZGHbgPje0suopx1
-11194,17272,U7UmNZmqS6OWTiDkM7IfqkDRrae2
-15369,12842,G3iIP9QRHPTItOsK6lpEMd6IQKw1
-27222,27058,jRjAYMmAQee5uVm5fU8yVnpuvs33
-32767,27463,0zexHIcM7tQDdnFiEj2Eb0v3g212
-8970,10036,uMry1yqi5sNoykw7ySJdITMv2yT2
-16491,18483,3VWhvtBFHKMgEKxlXzMYeg5NeBN2
-27149,28379,xyDgyXrDoyXu5CFqcNe20LRjYqg1
-9866,11570,FLhjsgqrgQMKwNt5iEryxG5sDlW2
